Navn,Fodselar,Postnummer,Postaddressen,Epost,Fodselsnummer,Inntekt,Formue
"Frye, Flavia K.",1973,92803,280-1531 Porttitor Street,ac@ametloremsemper.net,7EE4D9F7-D0E7-5341-29E3-FD830A7C9A60,"13,736Kr","79,319Kr"
"Hopper, Denise J.",1990,28738,"P.O. Box 613, 7747 Aptent Ave",turpis@magnaPhasellusdolor.edu,8F599C52-7C30-1861-D5D2-21D3A96C4DED,"89,016Kr","2,959Kr"
"Tate, Ronan Z.",1905,85567,"974-7922 Nec, Ave",ornare@Morbisit.org,B2A5B020-E1DA-5406-19EB-576B63DBD228,"89,750Kr","17,219Kr"
"Ellison, Hedy L.",1983,09718,"P.O. Box 493, 8990 Urna Rd.",tincidunt@nonleoVivamus.org,461B9E66-09F5-6D44-E401-2794E78E4748,"60,770Kr","71,860Kr"
"Kirk, Talon X.",1930,78338,Ap #108-185 Euismod Ave,non.feugiat@ipsum.org,74B5C440-B998-FE04-9EAE-B597691BAD22,"98,833Kr","14,723Kr"
"Good, Jared A.",1914,79835,488-5922 Neque Street,auctor@accumsan.edu,A87029BC-6DF8-B77E-36C8-F3D6976EB5F5,"48,171Kr","23,995Kr"
"Sears, Latifah J.",1906,08497,"P.O. Box 546, 5543 Et Rd.",euismod.et@Quisque.co.uk,7E415A00-006E-7BE8-CB0B-715B9E27325B,"37,027Kr","98,041Kr"
"Morin, Katelyn J.",1924,84287,"Ap #130-9101 Sem, Road",Donec@necurnaet.com,05E94018-3634-F0A3-E17C-DA26A1B60B90,"13,874Kr","38,951Kr"
"Gordon, Ila Y.",1955,78810,"P.O. Box 759, 3055 Mollis. St.",ultricies@iaculislacuspede.net,70121C81-7228-BCE4-8C19-D2AFEF0ACD53,"91,849Kr","24,764Kr"
"Glass, Debra Y.",1917,90602,"P.O. Box 221, 329 Eget Ave",Nunc.ac@vulputate.net,3CC1CCC8-A2C8-927C-0871-BADBCE3BF573,"28,267Kr","44,000Kr"
"Howell, Joan L.",1903,15632,710-6939 Molestie Avenue,in.tempus@magna.co.uk,C7A95E45-4C87-0E61-0EC5-2F49AF1D1ACD,"94,002Kr","53,325Kr"
"Evans, Hanna Y.",1940,77752,"P.O. Box 611, 6204 Libero Rd.",aliquam@maurissagittis.ca,5C4FB5DD-FAB1-1288-E346-86FAF9D7F614,"55,078Kr","00,608Kr"
"Tyson, Whitney T.",1969,17774,Ap #379-4135 Eu Av.,nisi.dictum@dictummi.edu,1EB17986-FAB2-0F1B-1D7D-54BF9172C63D,"33,494Kr","29,958Kr"
"Santiago, Ria N.",1953,41508,8267 Nulla. St.,commodo.at.libero@pedeultricesa.net,09602874-4E72-360F-F718-8F4AC18ACD6C,"23,179Kr","28,481Kr"
"Dean, Ali P.",1931,38622,Ap #803-3510 Suspendisse Road,aptent.taciti.sociosqu@luctusut.net,68729FD5-D323-0FB5-48F7-DAE9734BA881,"83,441Kr","95,585Kr"
"Lara, Sydnee N.",1902,09821,"P.O. Box 800, 5856 Egestas Street",natoque.penatibus@lacusvarius.com,3CBA006B-8FC9-FF3F-02D4-4D86A1DFAB2D,"31,190Kr","20,443Kr"
"Best, Selma U.",1986,91489,2452 Semper Av.,ipsum.dolor.sit@necante.com,B8D23EF2-9A56-23FA-1DD8-BD98CD6B300F,"12,131Kr","74,302Kr"
"Dominguez, Amela E.",1974,09362,"767-5062 Pellentesque, Av.",non.justo@risusDonec.org,2AEE84AB-5BAE-8BA5-C9A7-D7453CDD2F25,"7,942Kr","42,758Kr"
"Carson, Amos I.",1930,98665,284-4973 Ultricies St.,In@vehicula.net,ACFD9DAB-DD07-D4A2-38DD-15068775AF04,"96,579Kr","30,646Kr"
"Hahn, Kyle C.",1988,80760,905-6775 Lorem Rd.,massa.Mauris@malesuadafringilla.ca,D6E6E5C8-5DD0-E06C-D687-8CFDBA621CAF,"75,794Kr","16,688Kr"
"Leon, Hayley C.",1988,16295,Ap #713-6703 Morbi Av.,mollis.non@ultrices.ca,0C7B6ED8-B88E-1E0F-0A30-28EB3815CEEC,"61,725Kr","31,010Kr"
"Larson, Clio O.",1926,36981,"P.O. Box 887, 9390 Nulla Avenue",sagittis@quis.net,BF6E7834-6211-893C-FDCD-FADF8C01E1C9,"15,016Kr","31,759Kr"
"Buck, Marshall D.",1969,78188,"508-2292 At, Road",amet.ornare@lorem.com,A242F44D-6077-30FF-CC1A-B503C4A1405E,"23,018Kr","22,612Kr"
"Bentley, Haley X.",1991,30335,Ap #834-5970 Ut Rd.,pede@laoreetipsumCurabitur.com,0F8D32E7-3466-F88E-E844-01E9E7D83BD3,"94,325Kr","66,227Kr"
"Hinton, Shafira G.",1953,93737,737-1686 Mauris Street,aptent@velest.com,85E6DBF0-7D41-350C-568A-2AE6609A70FF,"58,685Kr","16,526Kr"
"Garner, Reed N.",1954,32025,1531 Sapien. Road,Mauris@placeratorci.net,A5B1BCB6-3B53-23A5-C0AC-32EA00C49713,"11,083Kr","23,330Kr"
"Berger, Elliott T.",1952,09772,669-2598 Consectetuer Avenue,Donec@necleoMorbi.co.uk,1E82E567-C7B9-401C-109D-48BC3FFDDFCF,"93,939Kr","94,280Kr"
"Velez, Cameron D.",1959,42499,"P.O. Box 200, 9751 Elit. St.",aliquam@eratin.org,1A349327-2E6F-37BD-EF3D-E30E5F078EEA,"68,455Kr","23,044Kr"
"Wilkerson, Azalia T.",1933,05490,273-123 Magna St.,Duis.gravida@Vestibulum.edu,630C303B-E257-549A-6325-3A8AD80FC413,"74,576Kr","94,104Kr"
"Graves, Nigel B.",1909,24038,"P.O. Box 169, 3881 Egestas Ave",ut.quam@variuset.org,2720F3FC-70FF-2FB4-2348-0C33DAB12A95,"88,906Kr","14,434Kr"
"Villarreal, Blair S.",1986,38347,Ap #197-8085 Aliquam Rd.,volutpat.ornare.facilisis@eleifend.org,DA9A45C7-F5D0-131F-8E5F-AB86D5426B83,"71,909Kr","67,455Kr"
"Ward, Clinton L.",1940,72300,"P.O. Box 501, 1360 Dignissim. St.",montes.nascetur.ridiculus@Donecvitae.edu,33608B3F-7B3E-D2A3-DD9F-EF1173ECBACE,"75,305Kr","57,966Kr"
"Bartlett, Linda Z.",1990,14486,Ap #952-9264 Gravida Ave,magna.Lorem@molestiearcu.ca,89CFDAC8-4873-B6AB-8016-A6066FF287D0,"27,234Kr","83,936Kr"
"Sweet, Griffin P.",1926,85539,471-7840 Lorem St.,adipiscing.non.luctus@lobortisClassaptent.edu,557B46ED-EBE0-5E09-B821-8F2D6FBDD0E2,"90,355Kr","96,720Kr"
"Jones, Timon O.",1976,74743,"P.O. Box 809, 3974 Aliquet. Av.",gravida.nunc.sed@sapiengravida.net,82AE16BF-6A1B-005C-CC84-141417460439,"92,475Kr","51,583Kr"
"Burks, Seth G.",1931,25786,Ap #861-6717 Felis Av.,aliquet.metus@ultricies.net,7BF933F3-83CF-1486-7035-AB348EA215D8,"38,405Kr","14,727Kr"
"Ramsey, Elaine G.",1908,04622,Ap #178-8190 Commodo Road,est@malesuada.net,B9037A69-0311-1352-5DC9-25FB6CB8D248,"74,577Kr","12,968Kr"
"Swanson, Elmo N.",1991,18939,"P.O. Box 450, 6220 Egestas Rd.",posuere.cubilia@egetodio.org,B102ECBB-F03B-4FF3-2C37-B4FEA96DF73B,"95,105Kr","52,371Kr"
"Pearson, Samuel P.",1909,62064,715-1669 Pede Avenue,orci.adipiscing@necenim.edu,90049629-E548-A20C-C4C6-C84337DADEC7,"87,100Kr","18,580Kr"
"Roberts, Priscilla H.",1922,81124,Ap #707-6528 Eget Avenue,sollicitudin.commodo@Loremipsum.net,F1E38CD5-BADA-884B-66E9-E87732E29AD9,"82,407Kr","65,411Kr"
"Maddox, Liberty G.",1949,66234,"P.O. Box 222, 5646 Volutpat. Av.",magna.Duis@Duisat.org,F8E2AC54-72D3-E977-42A9-A86AAF0361A5,"08,937Kr","74,083Kr"
"Shields, Alden V.",1938,85803,5847 Nam Avenue,nonummy.Fusce@egetmetusIn.net,59304218-822E-BC7F-2570-6D26CBD07FDD,"97,613Kr","69,361Kr"
"Holt, Iola T.",1917,93705,244-7987 Sem Av.,sagittis.placerat@dis.co.uk,2A6E53FD-2CAB-C79F-6EB7-764B81316B08,"46,825Kr","11,285Kr"
"Campbell, Imani H.",1964,35812,Ap #259-9580 Nullam Avenue,Aliquam@Namligulaelit.ca,1D49F7B5-3CD9-345D-AEBD-15CC8CE97728,"75,511Kr","93,930Kr"
"Douglas, Alfonso B.",1987,86164,Ap #129-6911 Velit Av.,fringilla.porttitor@molestiein.edu,B0D3CCD3-30B9-6DE5-B875-F22A2D014420,"31,284Kr","48,989Kr"
"Merritt, Abigail O.",1976,12010,5212 Faucibus Rd.,Ut.tincidunt.orci@eu.co.uk,F71AAEBC-2FF2-3F64-C88D-A8726F0FF6EF,"55,042Kr","82,443Kr"
"Atkins, Bruce R.",1988,33023,714-7441 Ad Rd.,molestie@vulputate.co.uk,C6035035-7155-1FD0-4328-860D1CF40E1D,"94,413Kr","75,633Kr"
"Williams, Doris S.",1918,20633,840-4914 Euismod Rd.,quam.elementum@sagittissemper.ca,0261E65F-47C9-9C3D-0475-96CE3484EADE,"96,837Kr","77,883Kr"
"Hyde, Risa G.",1963,36984,"P.O. Box 779, 2783 Proin Rd.",Integer@auguemalesuadamalesuada.ca,258590A7-B758-C536-BE58-5EF8A4CAF541,"43,789Kr","93,959Kr"
"Terry, Alexander W.",1983,07551,389-7388 Quisque Street,euismod@a.ca,FA19ED4E-28FD-5713-8DC2-FE77339644F4,"97,736Kr","04,095Kr"
"Gomez, Denise J.",1983,17077,"P.O. Box 992, 2710 Mollis St.",erat.neque.non@at.net,F5428D9D-2811-80F6-2B7E-85EB538246F3,"83,351Kr","56,125Kr"
"Mueller, Aquila C.",1911,92243,"407-3962 Ac, Avenue",arcu.Aliquam@semperegestasurna.ca,35588DBC-4BF1-F561-4A5B-FBA410D2E3B1,"21,967Kr","91,904Kr"
"Lamb, Jemima X.",1986,39109,708-1857 Nisl St.,ornare.facilisis@tempuseu.com,4E95F68D-93F2-4943-F351-192545D9E1E2,"79,058Kr","80,507Kr"
"Campos, Adena I.",1983,07427,962-7875 Nec Rd.,luctus@tincidunt.com,C991E7AC-89F7-075E-816C-C15102624D61,"38,182Kr","24,015Kr"
"Chambers, Imogene Z.",1944,81930,Ap #808-3374 Arcu. Road,commodo@netusetmalesuada.net,C3CD530A-06B6-7DBE-ADE0-F5781C9F87A5,"68,553Kr","08,315Kr"
"Davenport, Ainsley D.",1960,16663,"P.O. Box 843, 9660 Aenean St.",magna.a.tortor@ultricesDuisvolutpat.ca,25241C4A-3EFD-52DF-47AE-CBFF8FC3CADF,"40,729Kr","58,675Kr"
"Woods, Chadwick C.",1974,47937,6928 Erat Ave,congue.a.aliquet@sit.edu,F01E80BC-C6AC-5AF7-7746-DF48DF301811,"77,285Kr","32,722Kr"
"Arnold, Mark Q.",1917,78905,"P.O. Box 739, 9462 Erat Rd.",gravida.Praesent@risus.co.uk,24804B05-426C-56E8-1B83-44A6F901C11F,"95,337Kr","95,861Kr"
"Ochoa, Carter Q.",1937,09624,3262 Odio Rd.,Duis@id.com,5EDCD7DF-3E13-4B3E-15EC-953228429E5E,"02,666Kr","67,437Kr"
"Mack, Quinn Q.",1958,45836,396-5815 Tincidunt Ave,Suspendisse.tristique@mollisDuis.com,D650FA28-8765-A1E4-9810-23A88302B468,"49,599Kr","85,655Kr"
"Newman, Cameron L.",1939,71925,Ap #274-1427 Aptent Av.,pretium@Aenean.co.uk,7F6F372F-B887-511B-C3AF-DED82FED33BB,"88,744Kr","19,177Kr"
"Burt, Macon S.",1959,83339,8810 Mattis. Ave,Proin.dolor@Integer.net,F098296F-D9B8-CD33-709D-68A17874A809,"58,216Kr","22,349Kr"
"Juarez, Phoebe X.",1921,56013,"P.O. Box 844, 1400 Eget Avenue",habitant.morbi.tristique@Quisquefringillaeuismod.com,424CAC04-50EE-A09D-84FA-A89D6B83717B,"89,765Kr","30,545Kr"
"Ward, Jamal G.",1949,42851,"P.O. Box 361, 172 Pretium St.",nunc.sed.libero@pellentesqueafacilisis.com,800EB923-A9FE-57CD-E0B7-2695B9138760,"71,321Kr","55,895Kr"
"Ferguson, Shay T.",1903,04664,3808 Rutrum St.,fringilla.mi.lacinia@malesuadaInteger.com,8FDEA6FE-F650-FCF3-D0A8-B11BF78CD106,"26,869Kr","40,244Kr"
"Burns, April W.",1926,26269,Ap #302-8085 Conubia Rd.,augue.Sed@acturpis.co.uk,92A99357-45E6-3217-6BB0-B0A73707F168,"26,125Kr","77,419Kr"
"Nash, Kirby C.",1923,43582,145-5616 Adipiscing St.,mi.fringilla.mi@metus.ca,47F8FF0E-0774-891C-075E-A3F048D1CA91,"81,645Kr","11,205Kr"
"Velasquez, Lee X.",1948,60514,"P.O. Box 899, 4191 A, Rd.",parturient@sedtortorInteger.co.uk,FF047D54-8F6A-81C0-BC8E-45853F78A78A,"59,819Kr","39,628Kr"
"Dillard, Melyssa R.",1942,21925,Ap #480-8258 Eu Av.,nonummy.Fusce@Infaucibus.ca,BCDFC477-B012-9001-5309-CA6713D591D4,"82,988Kr","67,685Kr"
"Curtis, Ali I.",1991,71772,"P.O. Box 925, 4763 Cursus Road",nec.cursus@sitamet.co.uk,3864B394-5793-1DE1-90C5-3AB783FBB1AE,"69,830Kr","72,176Kr"
"Heath, Buffy Q.",1923,86522,"P.O. Box 723, 4830 Pellentesque, Road",semper.pretium@auctor.co.uk,EB67E62A-7C91-DC71-A1AE-46551DFD1FCF,"80,679Kr","94,497Kr"
"Meadows, Idona B.",1949,52038,"Ap #639-2325 Mauris, St.",Aliquam@dictumplacerataugue.edu,49566537-5F60-1DA9-6E9B-CCE751C0F003,"49,607Kr","39,616Kr"
"Silva, Tana R.",1975,85179,"7955 Aliquet, Av.",lobortis.risus@etmalesuadafames.co.uk,8DD02ED3-EE42-8BB9-7829-41C2E8924A1D,"98,647Kr","16,409Kr"
"Erickson, Caldwell D.",1979,69751,6029 Cursus St.,nulla.Integer.urna@ultricies.co.uk,70B9F431-8E25-6031-DEF9-72791056336A,"58,336Kr","09,127Kr"
"Cooley, Kane G.",1985,99316,"Ap #825-5418 Orci, Rd.",blandit@mauris.edu,DABCD4D4-F278-036E-3655-0C0888CB9BC6,"00,619Kr","66,179Kr"
"Porter, Hasad T.",1973,05719,"P.O. Box 755, 1851 Duis Street",fringilla.Donec@egetipsum.edu,4CBD478E-3549-D7D9-855B-5AF862F8ABAE,"85,209Kr","68,156Kr"
"Justice, Nathaniel S.",1981,26069,515-512 Malesuada Road,Quisque.imperdiet.erat@nisinibh.edu,1BB7DA08-5A7C-128E-72F0-1978087DE200,"81,768Kr","61,973Kr"
"Simpson, Fletcher N.",1930,42616,9601 Pellentesque Street,mi@metus.org,4BDCC63A-56A5-45DF-A534-7EBBCAE1D071,"61,974Kr","04,473Kr"
"Vinson, Charity A.",1968,01047,"P.O. Box 287, 7593 Feugiat Ave",montes.nascetur.ridiculus@nisiaodio.edu,ECBB79C4-9465-93D4-5F5C-CB9EE5A75B73,"22,679Kr","44,121Kr"
"Lott, Steven K.",1976,73496,5898 Lacinia. Rd.,arcu.Vestibulum.ante@idante.edu,5E93DED4-49B7-1E61-B261-11DA07830A45,"53,704Kr","52,433Kr"
"Chase, Remedios G.",1977,46094,984-2179 Id St.,Donec@aliquetvel.com,B0EB76F8-13DA-161E-CCFC-28D8819ABBE6,"08,434Kr","89,379Kr"
"Becker, Kamal N.",1919,17236,"P.O. Box 125, 4159 Fermentum Rd.",sit.amet.consectetuer@dignissimtempor.co.uk,F7778023-C0A8-DDD0-F945-34D343F1A809,"18,707Kr","64,713Kr"
"Edwards, Henry V.",1952,17324,"P.O. Box 718, 595 Aliquam St.",imperdiet@maurissagittis.org,A5AE9A03-30D3-8EB1-1764-E441F544BDB5,"73,478Kr","65,129Kr"
"Conley, Eden P.",1906,20238,"Ap #329-9650 At, Av.",In.scelerisque.scelerisque@aliquamarcu.ca,A6BAB0E7-EAC1-00E1-5F6A-DE79276ED788,"87,024Kr","02,788Kr"
"Hoffman, Candace V.",1933,10278,2976 Auctor Av.,ut.molestie.in@porttitor.co.uk,135B6C14-A8D2-6150-770B-3E10C5EFA3DB,"60,841Kr","16,247Kr"
"Guy, Veronica K.",1991,51509,"P.O. Box 214, 5148 Nunc Rd.",tellus.faucibus@torquentper.net,75D3BC35-0017-3852-07B1-7898A113A512,"78,805Kr","10,008Kr"
"Garcia, Blossom O.",1970,57768,634-9990 Class Av.,senectus.et@sodalesnisimagna.ca,400E212D-73F2-259E-F4A9-2E6776D82516,"13,113Kr","76,258Kr"
"Walton, Melodie M.",1922,43763,"Ap #482-6914 Vel, Av.",vitae.erat@in.co.uk,3A5B1344-85BE-706B-7D62-24FDBA86FB43,"67,412Kr","24,277Kr"
"Everett, Lee Y.",1983,27354,738-7826 Tempus St.,ridiculus.mus.Proin@sed.net,7092A19A-DED3-9CB6-07D9-E1A5C735A401,"00,416Kr","87,820Kr"
"Johnson, Hoyt O.",1963,85474,"P.O. Box 483, 7667 Dignissim Street",nibh@eusem.net,A817F5C9-9DBE-60D1-E78A-E4F1BB495150,"14,019Kr","92,400Kr"
"Key, Victor C.",1970,21309,1444 Ad Rd.,feugiat.tellus@sitamet.org,767813DA-8E08-8601-2447-63CE2E7F797F,"88,289Kr","14,420Kr"
"Kline, Leilani B.",1914,37627,"P.O. Box 329, 8395 Phasellus Ave",nisi.dictum@neque.co.uk,59D7757F-EFEE-E600-CCBF-9FBC391CBFB0,"59,489Kr","24,542Kr"
"Brewer, Abdul T.",1988,90899,840-8514 Mollis Av.,augue@cursusluctus.com,8EFB7182-0329-DAAB-AB99-B661344DD605,"74,617Kr","15,780Kr"
"Rosales, Elliott J.",1908,69180,4399 Nulla Rd.,bibendum.sed@non.edu,D56E9B36-897E-E7FA-899A-6A716D7D07DD,"90,118Kr","18,311Kr"
"Cantrell, Aiko X.",1994,97562,Ap #454-1850 Urna Rd.,consectetuer@enimmitempor.org,657D3FA3-6813-DD9C-D657-9BF41271E585,"40,268Kr","54,020Kr"
"Mccarty, Teagan I.",1993,81331,"P.O. Box 235, 9680 Duis St.",nisl.Quisque.fringilla@dapibus.edu,05628E36-4CBF-CDDC-AF10-2A22D2156777,"45,826Kr","28,887Kr"
"Odonnell, Aristotle W.",1976,87054,866-1450 Urna Road,mi@lacus.co.uk,E31C532C-A937-8CC5-9853-06953B50F5FE,"48,712Kr","71,930Kr"
"Palmer, Maggie Q.",1924,86948,Ap #275-2742 Turpis. Avenue,tincidunt@estNunc.net,0014B64B-C4A4-5529-1C88-9E831C7D6D87,"57,074Kr","41,864Kr"
"Montgomery, Garrett H.",1902,93729,320-1704 Iaculis Rd.,Ut.tincidunt@euismodac.ca,87DA347A-2010-ACAA-C070-F893CCAD697F,"02,203Kr","18,096Kr"
"Miles, Ingrid F.",1962,19810,5430 Nunc Av.,nisi.dictum@vulputatelacus.ca,873C4F61-6096-1F06-9146-35401D7A563D,"41,533Kr","58,931Kr"
"Morgan, Florence U.",1938,03709,"2089 Eu, St.",Fusce.aliquam@elit.co.uk,92293F1E-5822-79CA-FD0C-EFF0D2947620,"10,239Kr","43,088Kr"
"Haynes, Jade O.",1927,76628,638-3804 Et Ave,sit.amet@Praesenteu.org,51624F7C-5ACE-F7B4-26D6-3A2A480BE203,"14,083Kr","71,925Kr"
"Hart, Kelly X.",1940,83751,Ap #469-7497 Pretium Rd.,mi.lacinia.mattis@Nullatempor.edu,45A8DA3B-D4F2-B6B2-40FC-3A4C008D9BEE,"27,400Kr","40,902Kr"
"Goodman, Chanda K.",1919,66086,"P.O. Box 939, 7308 Molestie Rd.",auctor@pulvinararcuet.com,54F5573E-31D4-A32D-DCEA-71470FB0AC3F,"41,659Kr","99,899Kr"
"May, Clark D.",1963,53861,344-2085 Magna. Road,odio@convallis.ca,32F42B5C-78C9-B1F6-B436-75CDAFFB1D34,"66,516Kr","22,971Kr"
"Lambert, Ahmed K.",1987,89346,"9196 Nunc, St.",dis.parturient@imperdiet.co.uk,A2A7CA78-B5CF-5F97-D764-E131E1965650,"80,611Kr","01,115Kr"
"White, Jarrod X.",1962,09336,Ap #910-1888 Tristique Ave,felis.ullamcorper@auctornunc.com,AF581FF6-647F-4F5F-F445-F909831ECD26,"16,328Kr","33,359Kr"
"Deleon, Donna M.",1939,93717,Ap #221-4163 Tellus Rd.,eleifend.nunc.risus@urnaetarcu.org,400D41B0-FD7C-46AB-5088-C4F7662D1246,"82,544Kr","05,586Kr"
"Bell, Philip G.",1937,95370,865-8207 Enim St.,malesuada.fames.ac@tellusNunc.ca,9410B4EC-723A-672C-6B22-B54231E063A0,"44,028Kr","15,549Kr"
"Allen, Ulla E.",1901,90402,"Ap #374-2772 Nec, Rd.",dolor@diameu.net,C7DF9C0F-0A09-61C7-0DE1-108C5DD54110,"68,831Kr","18,277Kr"
"Cooley, Victoria I.",1967,01761,"P.O. Box 196, 5546 Justo St.",ut@gravidanunc.edu,8DDDAB3F-D4F7-3FAE-0CAB-FED30570DC15,"41,853Kr","36,437Kr"
"Parrish, Nevada Y.",1965,42572,663-8211 Consectetuer Avenue,sed@purusaccumsan.org,6D972170-D857-78D2-F1AA-6A9A46FBDF14,"85,697Kr","83,701Kr"
"Hernandez, Derek W.",1973,19663,9429 Cursus St.,ipsum@ut.org,7911D718-50AA-C55B-17BB-20D4DC8AD724,"89,658Kr","40,669Kr"
"Sexton, Petra M.",1972,44150,180-572 Erat Street,magna.Nam@rhoncusProinnisl.net,C109D84A-07F0-B5E7-D596-65AC6B5079B3,"23,150Kr","57,240Kr"
"Holloway, Amena Y.",1928,11350,311-7394 Proin Street,id@in.co.uk,A6C11119-ADD4-9ABE-CE35-F897C5C5A745,"64,587Kr","59,915Kr"
"Mosley, Griffin Q.",1912,55743,"P.O. Box 824, 9364 Sed, St.",commodo.auctor.velit@Quisque.ca,BA170DCA-51F2-2624-FB06-1161E5D97F42,"63,210Kr","19,479Kr"
"Whitaker, Porter Y.",1922,42552,Ap #913-9747 Vitae Ave,tellus.faucibus@Etiam.net,16C0C9A4-9E73-41D7-8211-6DD1BCB5CCFE,"58,230Kr","23,096Kr"
"Wilkerson, Thane Y.",1936,52946,516 Malesuada Ave,nec@egestas.org,913BD062-D22C-5EB5-4484-C378F7B4AFA4,"49,787Kr","03,693Kr"
"Matthews, Regina X.",1988,30752,"P.O. Box 291, 2824 Luctus Avenue",at.nisi@velitinaliquet.com,02CFA834-8E99-D88B-F978-DF7F3C7B9209,"37,039Kr","25,247Kr"
"Middleton, Griffith X.",1929,82877,961-2992 Est. Rd.,commodo@mattisIntegereu.org,C46F0DA9-0A34-7C3C-9694-2FD8F2C8E9FA,"25,698Kr","78,620Kr"
